rider_id,name,mobile,aadhaar,city,zone,store_id,date,deliveries,earnings_inr,hours_worked,disruption_type,disruption_hours_lost,platform_rating
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-10-01,17,1190,8,none,0,4.4
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-10-05,21,1470,10,none,0,4.4
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-10-10,0,0,0,heavy_rain,10,4.4
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-10-15,19,1330,9,none,0,4.5
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-10-20,23,1610,10,none,0,4.5
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-10-25,0,0,0,extreme_heat,10,4.5
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-11-01,20,1400,9,none,0,4.5
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-11-10,16,1120,8,none,0,4.5
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-11-15,0,0,0,flooding,10,4.5
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-11-20,22,1540,10,none,0,4.6
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-12-01,24,1680,11,none,0,4.6
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-12-10,18,1260,9,none,0,4.6
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2025-12-20,0,0,0,poor_aqi,10,4.6
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2026-01-01,21,1470,10,none,0,4.7
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2026-01-15,25,1750,11,none,0,4.7
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2026-02-01,20,1400,9,none,0,4.7
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2026-02-10,0,0,0,heavy_rain,10,4.7
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2026-02-20,23,1610,10,none,0,4.8
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2026-03-01,22,1540,10,none,0,4.8
IM-R001,Venumadhav S,7824896226,543219874455,Chennai,T. Nagar,IM-TNG-01,2026-03-15,19,1330,9,none,0,4.8
